metro_name,c5_coi_met_lbl,lifex
"Toledo, OH",Very Low,70.90000152588
"Toledo, OH",Low,76.30000305176
"Toledo, OH",Moderate,77.59999847412
"Toledo, OH",High,78.80000305176
"Toledo, OH",Very High,80.40000152588
"Tucson, AZ",Very Low,76.09999847412
"Tucson, AZ",Low,75.69999694824
"Tucson, AZ",Moderate,78.59999847412
"Tucson, AZ",High,79.90000152588
"Tucson, AZ",Very High,81.90000152588
"Tulsa, OK",Very Low,71.90000152588
"Tulsa, OK",Low,74.69999694824
"Tulsa, OK",Moderate,76.30000305176
"Tulsa, OK",High,79.00000000000
"Tulsa, OK",Very High,80.00000000000
"Urban Honolulu, HI",Very Low,76.80000305176
"Urban Honolulu, HI",Low,80.19999694824
"Urban Honolulu, HI",Moderate,80.19999694824
"Urban Honolulu, HI",High,81.69999694824
"Urban Honolulu, HI",Very High,83.40000152588
"Virginia Beach-Norfolk-Newport News, VA-NC",Very Low,72.90000152588
"Virginia Beach-Norfolk-Newport News, VA-NC",Low,76.50000000000
"Virginia Beach-Norfolk-Newport News, VA-NC",Moderate,77.19999694824
"Virginia Beach-Norfolk-Newport News, VA-NC",High,79.09999847412
"Virginia Beach-Norfolk-Newport News, VA-NC",Very High,80.69999694824
"Visalia, CA",Very Low,77.19999694824
"Visalia, CA",Low,77.59999847412
"Visalia, CA",Moderate,76.19999694824
"Visalia, CA",High,78.00000000000
"Visalia, CA",Very High,81.40000152588
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Very Low,77.90000152588
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Low,80.09999847412
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Moderate,80.40000152588
"Washington-Arlington-Alexandria, DC-VA-MD-WV",High,81.40000152588
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Very High,83.50000000000
"Wichita, KS",Very Low,73.40000152588
"Wichita, KS",Low,74.90000152588
"Wichita, KS",Moderate,78.90000152588
"Wichita, KS",High,79.90000152588
"Wichita, KS",Very High,82.00000000000
"Winston-Salem, NC",Very Low,74.30000305176
"Winston-Salem, NC",Low,75.80000305176
"Winston-Salem, NC",Moderate,76.59999847412
"Winston-Salem, NC",High,78.19999694824
"Winston-Salem, NC",Very High,81.30000305176
"Worcester, MA-CT",Very Low,77.40000152588
"Worcester, MA-CT",Low,79.09999847412
"Worcester, MA-CT",Moderate,80.40000152588
"Worcester, MA-CT",High,81.00000000000
"Worcester, MA-CT",Very High,82.09999847412
